EventId	CarNumber	Timestamp	ClassName	PositionInRun	CurrentLap	LastLapTimeSeconds	LastPitLap	PitStops
27712	85	2021-01-30 22:55:08.3153901	GP3	16	207	351.453	207	7
27712	983	2021-01-30 22:55:00.5986048	GTO	2	230	116.954	201	6
27712	134	2021-01-30 22:54:55.5483165	GP1	24	148	116.846	93	7
27712	66	2021-01-30 22:54:53.0272384	GP3	13	214	129.054	205	5
27712	77	2021-01-30 22:54:53.0272384	GTO	7	225	121.456	195	7
27712	110	2021-01-30 22:54:50.5981256	GP1	9	223	129.977	202	5
27712	199	2021-01-30 22:54:38.0626921	GP2	27	131	129.968	108	6
27712	511	2021-01-30 22:54:38.0626921	GTO	15	209	122.477	204	8
27712	95	2021-01-30 22:54:38.0626921	GTO	25	145	114.487	112	6
27712	9	2021-01-30 22:54:28.0444195	GTO	3	227	117.271	220	6
27712	84	2021-01-30 22:54:26.4761689	GP2	12	214	129.132	171	4
27712	152	2021-01-30 22:54:20.5820678	GP2	19	205	137.272	193	7
27712	69	2021-01-30 22:54:15.6758594	GP2	28	129	122.189	96	5
27712	32	2021-01-30 22:54:03.0224903	GP3	18	206	131.979	164	4
27712	366	2021-01-30 22:54:00.6534719	GP1	14	210	132.074	196	7
27712	51	2021-01-30 22:53:53.0736541	GP2	6	225	124.409	179	4
27712	58	2021-01-30 22:53:48.0185807	GP1	10	220	123.329	217	6
27712	29	2021-01-30 22:53:45.6002251	GTO	1	235	116.42	232	5
27712	525	2021-01-30 22:53:42.9770911	GP2	11	215	117.633	198	7
27712	242	2021-01-30 22:53:38.1219408	GTO	22	155	114.719	146	13
27712	982	2021-01-30 22:53:35.5555684	GTO	20	191	121.091	167	9
27712	172	2021-01-30 22:53:33.0919755	GTO	8	223	119.015	210	5
27712	348	2021-01-30 22:53:23.0314024	GP1	26	143	1341.032	143	4
27712	44	2021-01-30 22:53:16.6203641	GP1	5	225	118.504	220	11
27712	983	2021-01-30 22:53:05.5225500	GTO	2	229	116.73	201	6
27712	134	2021-01-30 22:52:58.0397570	GP1	24	147	116.801	93	7
27712	77	2021-01-30 22:52:53.0170054	GTO	7	224	121.65	195	7
27712	66	2021-01-30 22:52:43.1035853	GP3	13	213	129.112	205	5
27712	95	2021-01-30 22:52:43.1035853	GTO	25	144	113.813	112	6
27712	110	2021-01-30 22:52:40.5561535	GP1	9	222	131.67	202	5
27712	511	2021-01-30 22:52:35.5213288	GTO	15	208	121.342	204	8
27712	9	2021-01-30 22:52:30.5548755	GTO	4	226	116.201	220	6
27712	199	2021-01-30 22:52:28.9172557	GP2	27	130	129.163	108	6
27712	84	2021-01-30 22:52:17.9795279	GP2	12	213	130.402	171	4
27712	69	2021-01-30 22:52:14.1575917	GP2	28	128	122.338	96	5
27712	152	2021-01-30 22:52:03.3984395	GP2	19	204	130.211	193	7
27712	32	2021-01-30 22:51:53.9252454	GP3	18	205	132.571	164	4
27712	51	2021-01-30 22:51:50.5210279	GP2	6	224	121.977	179	4
27712	29	2021-01-30 22:51:50.5210279	GTO	1	234	116.688	232	5
27712	366	2021-01-30 22:51:48.0289812	GP1	14	209	131.964	196	7
27712	525	2021-01-30 22:51:45.6740261	GP2	11	214	120.098	198	7
27712	58	2021-01-30 22:51:43.0427002	GP1	10	219	124.394	217	6
27712	242	2021-01-30 22:51:43.0427002	GTO	22	154	116.354	146	13
27712	982	2021-01-30 22:51:35.5631805	GTO	20	190	121.879	167	9
27712	172	2021-01-30 22:51:33.1489635	GTO	8	222	121.089	210	5
27712	44	2021-01-30 22:51:15.5384592	GP1	5	224	119.711	220	11
27712	983	2021-01-30 22:51:08.0368982	GTO	2	228	116.345	201	6
27712	134	2021-01-30 22:51:03.0270671	GP1	24	146	118.271	93	7
27712	95	2021-01-30 22:50:50.5780760	GTO	25	143	115.296	112	6
27712	77	2021-01-30 22:50:50.5780760	GTO	7	223	121.218	195	7
27712	66	2021-01-30 22:50:35.5751214	GP3	13	212	125.557	205	5
27712	9	2021-01-30 22:50:35.5751214	GTO	4	225	116.465	220	6
27712	511	2021-01-30 22:50:33.1149725	GTO	15	207	118.363	204	8
27712	110	2021-01-30 22:50:30.5969149	GP1	9	221	127.705	202	5
27712	199	2021-01-30 22:50:21.2121355	GP2	27	129	129.093	108	6
27712	69	2021-01-30 22:50:13.2751043	GP2	28	127	120.72	96	5
27712	84	2021-01-30 22:50:08.0329405	GP2	12	212	131.909	171	4
27712	29	2021-01-30 22:49:53.9959256	GTO	1	233	122.702	232	5
27712	152	2021-01-30 22:49:53.9959256	GP2	19	203	129.845	193	7
27712	242	2021-01-30 22:49:48.3186656	GTO	22	153	115.872	146	13
27712	51	2021-01-30 22:49:48.3186656	GP2	6	223	122.334	179	4
27712	525	2021-01-30 22:49:43.0475864	GP2	11	213	119.068	198	7
27712	58	2021-01-30 22:49:40.5974608	GP1	10	218	129.329	217	6
27712	32	2021-01-30 22:49:40.5974608	GP3	18	204	131.192	164	4
27712	366	2021-01-30 22:49:35.5555862	GP1	14	208	131.092	196	7
27712	172	2021-01-30 22:49:33.9276470	GTO	8	221	121.536	210	5
27712	982	2021-01-30 22:49:33.9276470	GTO	20	189	121.996	167	9
27712	44	2021-01-30 22:49:18.9269186	GP1	5	223	119.783	220	11
27712	85	2021-01-30 22:49:15.7072390	GP3	17	206	135.753	165	6
27712	983	2021-01-30 22:49:10.7435628	GTO	2	227	116.478	201	6
27712	134	2021-01-30 22:49:03.1327575	GP1	24	145	117.679	93	7
27712	3	2021-01-30 22:49:00.5411469	GTO	29	121	141.068	120	6
27712	95	2021-01-30 22:48:55.5557193	GTO	26	142	115.91	112	6
27712	77	2021-01-30 22:48:50.7148477	GTO	7	222	122.916	195	7
27712	9	2021-01-30 22:48:38.1247527	GTO	4	224	115.287	220	6
27712	511	2021-01-30 22:48:35.5020662	GTO	16	206	118.836	204	8
27712	66	2021-01-30 22:48:31.1772894	GP3	13	211	125.715	205	5
27712	110	2021-01-30 22:48:23.0071235	GP1	9	220	126.722	202	5
27712	199	2021-01-30 22:48:11.7868335	GP2	27	128	130.765	108	6
27712	69	2021-01-30 22:48:11.7868335	GP2	28	126	121.807	96	5
27712	84	2021-01-30 22:47:55.5472482	GP2	12	211	128.199	171	4
27712	242	2021-01-30 22:47:53.0896971	GTO	22	152	116.525	146	13
27712	29	2021-01-30 22:47:50.5010835	GTO	1	232	182.594	232	5
27712	51	2021-01-30 22:47:45.5467697	GP2	6	222	120.361	179	4
27712	525	2021-01-30 22:47:45.5467697	GP2	11	212	119.567	198	7
27712	152	2021-01-30 22:47:43.0320307	GP2	19	202	130.177	193	7
27712	46	2021-01-30 22:47:33.0370063	GP1	15	206	136.981	164	5
27712	172	2021-01-30 22:47:30.5432009	GTO	8	220	119.652	210	5
27712	58	2021-01-30 22:47:30.5432009	GP1	10	217	206.705	217	6
27712	982	2021-01-30 22:47:30.5432009	GTO	20	188	121.253	167	9
27712	32	2021-01-30 22:47:28.0604515	GP3	18	203	130.334	164	4
27712	366	2021-01-30 22:47:25.5857379	GP1	14	207	131.705	196	7
27712	44	2021-01-30 22:47:18.0491182	GP1	5	222	122.121	220	11
27712	983	2021-01-30 22:47:15.6182513	GTO	3	226	116.831	201	6
27712	134	2021-01-30 22:47:06.4247348	GP1	24	144	116.807	93	7
27712	95	2021-01-30 22:47:01.2138666	GTO	26	141	114.538	112	6
